Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
106,LaguerreSolver,83,63,0.83,0.63
143,LaplaceDistribution,83,60,0.83,0.6
372,LearningFactorFunctionFactory,92,100,0.92,1
204,LeastSquaresAdapter,100,100,1,1
205,LeastSquaresBuilder,92,93,0.92,0.93
487,LeastSquaresConverter,92,100,0.92,1
525,LeastSquaresConverter,92,100,0.92,1
206,LeastSquaresFactory,88,76,0.88,0.76
55,LegendreGaussIntegrator,94,90,0.94,0.9
64,LegendreHighPrecisionRuleFactory,100,100,1,1
65,LegendreRuleFactory,100,100,1,1
207,LevenbergMarquardtOptimizer,96,87,0.96,0.87
512,LevenbergMarquardtOptimizer,96,88,0.96,0.88
555,LevenbergMarquardtOptimizer,96,87,0.96,0.87
144,LevyDistribution,79,77,0.79,0.77
293,LimitAngle,94,88,0.94,0.88
250,Line,87,73,0.87,0.73
265,Line,78,69,0.78,0.69
477,LinearConstraint,62,57,0.62,0.57
558,LinearConstraint,54,52,0.54,0.52
478,LinearConstraintSet,56,100,0.56,1
77,LinearInterpolator,100,94,1,0.94
479,LinearObjectiveFunction,87,72,0.87,0.72
559,LinearObjectiveFunction,83,63,0.83,0.63
480,LinearOptimizer,100,100,1,1
488,LineSearch,100,100,1,1
228,ListPopulation,82,67,0.82,0.67
185,LocalizedFormats,100,75,1,0.75
378,LocationFinder,94,100,0.94,1
78,LoessInterpolator,95,87,0.95,0.87
30,Log,75,67,0.75,0.67
31,Log10,50,0,0.5,0
32,Log1p,50,0,0.5,0
33,Logistic,98,86,0.98,0.86
146,LogisticDistribution,83,70,0.83,0.7
34,Logit,93,87,0.93,0.87
145,LogNormalDistribution,97,87,0.97,0.87
329,LUDecomposition,100,98,1,0.98
443,LutherFieldIntegrator,100,100,1,1
444,LutherFieldStepInterpolator,100,60,1,0.6
445,LutherStepInterpolator,100,96,1,0.96
364,ManhattanDistance,100,100,1,1
652,MannWhitneyUTest,91,91,0.91,0.91
366,MapUtils,29,20,0.29,0.2
165,MathArithmeticException,91,60,0.91,0.6
694,MathArrays,94,83,0.94,0.83
166,MathIllegalArgumentException,86,75,0.86,0.75
167,MathIllegalNumberException,100,100,1,1
168,MathIllegalStateException,62,40,0.62,0.4
169,MathInternalError,0,0,0,0
170,MathParseException,50,0,0.5,0
171,MathRuntimeException,0,0,0,0
172,MathUnsupportedOperationException,67,0,0.67,0
695,MathUtils,88,65,0.88,0.65
330,MatrixDimensionMismatchException,100,100,1,1
331,MatrixUtils,82,83,0.82,0.83
35,Max,100,100,1,1
639,Max,91,71,0.91,0.71
173,MaxCountExceededException,100,100,1,1
469,MaxEval,71,50,0.71,0.5
470,MaxIter,71,50,0.71,0.5
630,Mean,91,71,0.91,0.71
